센터ID,프로그램ID
C0081,P0100
C0081,P0134
C0081,P0008
C0081,P0254
C0081,P0010
C0081,P0258
C0081,P0259
C0081,P0260
C0081,P0102
C0081,P0104
C0081,P0261
C0081,P0262
C0081,P0263
C0081,P0171
C0081,P0264
C0082,P0004
C0082,P0265
C0082,P0266
C0082,P0267
C0082,P0268
C0083,P0205
C0083,P0201
C0083,P0269
C0084,P0270
C0084,P0004
C0084,P0198
C0084,P0271
C0084,P0032
C0084,P0272
C0084,P0265
C0085,P0273
C0085,P0107
C0085,P0103
C0085,P0274
C0085,P0031
C0085,P0130
C0085,P0275
C0085,P0267
C0085,P0276
C0086,P0001
C0086,P0277
C0086,P0278
C0086,P0279
C0086,P0280
C0086,P0281
C0087,P0004
C0087,P0103
C0087,P0053
C0087,P0051
C0087,P0076
C0089,P0282
C0089,P0019
C0089,P0283
C0089,P0284
C0098,P0004
C0098,P0285
C0098,P0019
C0098,P0286
C0101,P0004
C0101,P0287
C0101,P0288
C0101,P0270
C0101,P0102
C0101,P0289
C0101,P0125
C0101,P0290
C0104,P0004
C0104,P0107
C0104,P0291
C0104,P0292
C0104,P0293
C0104,P0294
C0105,P0004
C0105,P0295
C0106,P0296
C0106,P0009
C0106,P0196
C0106,P0079
C0107,P0004
C0107,P0006
C0107,P0297
C0108,P0046
C0108,P0298
C0108,P0265
C0108,P0107
C0108,P0115
C0108,P0299
C0108,P0300
C0112,P0101
C0112,P0301
C0112,P0302
C0112,P0303
C0112,P0304
C0112,P0076
C0112,P0267
C0112,P0019
C0112,P0097
C0112,P0305
C0112,P0288
C0113,P0249
C0113,P0100
C0113,P0019
C0113,P0306
C0113,P0130
C0113,P0307
C0114,P0101
C0114,P0308
C0114,P0309
C0114,P0310
C0114,P0311
C0114,P0312
C0114,P0313
C0114,P0314
C0114,P0315
C0115,P0316
C0115,P0079
C0117,P0101
C0117,P0317
C0117,P0318
C0117,P0319
C0118,P0066
C0118,P0320
C0119,P0321
C0120,P0101
C0120,P0322
C0120,P0323
C0120,P0324
C0123,P0134
C0123,P0008
C0123,P0325
C0123,P0010
C0123,P0326
C0124,P0101
C0124,P0009
C0124,P0327
C0124,P0328
C0125,P0329
C0125,P0125
C0125,P0097
C0125,P0330
C0125,P0331
C0125,P0332
C0126,P0004
C0126,P0046
C0126,P0102
C0126,P0333
C0127,P0004
C0127,P0334
C0127,P0201
C0127,P0335
C0127,P0336
C0127,P0337
C0127,P0338
C0127,P0130
C0128,P0291
C0128,P0339
C0128,P0030
C0129,P0340
C0130,P0034
C0130,P0288
C0130,P0341
C0130,P0086
C0130,P0342
C0130,P0158
C0130,P0102
C0130,P0343
C0131,P0344
C0132,P0034
C0132,P0345
C0132,P0115
C0132,P0346
C0132,P0347
C0132,P0076
C0132,P0348
C0132,P0349
C0132,P0350
C0133,P0351
C0133,P0101
C0133,P0102
C0133,P0103
C0133,P0104
C0133,P0006
C0133,P0105
C0133,P0106
C0134,P0352
C0134,P0353
C0134,P0354
C0134,P0355
C0134,P0356
C0134,P0357
C0134,P0358
C0134,P0359
C0134,P0360
C0135,P0066
C0135,P0361
C0135,P0362
C0135,P0363
C0135,P0364
C0135,P0365
C0135,P0366
C0135,P0367
C0135,P0368
C0135,P0369
C0135,P0283
C0135,P0107
C0135,P0370
C0135,P0326
C0136,P0371
C0136,P0372
C0136,P0373
C0136,P0046
C0136,P0171
C0136,P0374
C0136,P0102
C0136,P0375
C0136,P0376
C0136,P0377
C0137,P0378
C0137,P0379
C0137,P0020
C0137,P0380
C0138,P0381
C0138,P0382
C0138,P0383
C0138,P0384
C0138,P0106
C0139,P0074
C0139,P0385
C0139,P0386
C0140,P0115
C0141,P0001
C0141,P0387
C0141,P0302
C0141,P0388
C0142,P0389
C0143,P0115
C0143,P0296
C0143,P0169
C0144,P0102
C0144,P0156
C0144,P0009
C0145,P0004
C0145,P0390
C0145,P0391
C0146,P0196
C0146,P0004
C0146,P0341
C0146,P0392
C0147,P0393
C0148,P0394
C0148,P0111
C0148,P0395
C0148,P0113
C0148,P0396
C0148,P0397
C0149,P0052
C0149,P0398
C0149,P0399
C0149,P0086
C0149,P0400
C0149,P0401
C0149,P0402
C0154,P0403
C0155,P0034
C0156,P0004
C0156,P0404
C0156,P0130
C0156,P0405
C0156,P0102
C0156,P0156
C0156,P0115
C0156,P0406
C0156,P0407
C0156,P0408
C0156,P0409
C0156,P0410
C0156,P0267
C0156,P0411
C0156,P0412
C0157,P0100
C0157,P0134
C0157,P0008
C0157,P0115
C0157,P0125
C0157,P0413
C0158,P0004
C0158,P0019
C0158,P0218
C0158,P0414
C0158,P0415
C0159,P0416
C0160,P0417
C0160,P0418
C0160,P0419
C0160,P0420
C0160,P0421
C0161,P0422
C0161,P0423
C0161,P0004
C0161,P0424
C0161,P0425
C0161,P0426
C0162,P0004
C0162,P0427
C0162,P0428
C0162,P0429
C0163,P0080
C0163,P0101
C0163,P0430
C0163,P0103
C0164,P0431
C0164,P0432
C0164,P0433
C0165,P0434
C0168,P0103
C0168,P0115
